Fecha;US_BV;US_BG;US_SG;US_SV;RT10;RHY;EMERG;DFA_V;VAN_V
Abr-10;0.030457922;1.38E-02;0.044506961;0.070889015;0.026443792;0.019207842;-0.00166178;0.081459017;0.017634747
May-10;-0.082029942;-7.67E-02;-0.065208604;-0.082416766;0.029168975;-0.046478706;-0.093935657;-0.098988933;-0.075433322
Jun-10;-0.057545168;-5.47E-02;-0.067516796;-0.088381343;0.036649872;0.010662575;-0.020472715;-0.101449103;-0.066151996
Jul-10;0.061796385;6.70E-02;0.063542325;0.065217448;0.014842825;0.051809078;0.116670281;0.086888117;0.066115596
Ago-10;-0.036488309;-4.26E-02;-0.071434583;-0.070189284;0.049615586;-0.009317622;-0.032367109;-0.083772018;-0.04651176
Set-10;0.070016598;1.02E-01;0.138634837;0.103025015;-0.005187152;0.036148331;0.11757355;0.128004375;0.077816558
Oct-10;0.036816447;5.24E-02;0.047915133;0.042283039;-0.029702486;0.019015414;0.030154353;0.042934654;0.03232759
Nov-10;-0.006084178;1.13E-02;0.041426607;0.02609495;-0.013088699;-0.012825293;-0.029054999;0.044908394;-0.003131326
Dic-10;0.073295561;5.06E-02;0.073296836;0.076142905;-0.022377475;0.021372821;0.063868;0.088085305;0.057591695
Ene-11;0.027416131;2.80E-02;-0.003759942;0.005426581;-0.002344632;0.029848028;-0.030359567;0.006532298;0.044946445
Feb-11;0.037869722;3.43E-02;0.058721592;0.050985832;0.005603503;0.007845307;-0.000436572;0.062768118;0.046287224
Mar-11;-0.001744249;-3.13E-03;0.036867874;0.010184929;0.000177079;0.000583434;0.062895881;0.020542831;0.011059974
Abr-11;0.030624689;3.62E-02;0.037399884;0.01947569;0.018364912;0.016037836;0.027326905;0.012581008;0.027347081
May-11;-0.010077798;-1.10E-02;-0.019429081;-0.016973159;0.029981074;0.001360089;-0.029400064;-0.03123897;-0.010647676
Jun-11;-0.020935109;-1.44E-02;-0.021155869;-0.024970147;-0.020383497;-0.005660178;-0.019163634;-0.019055063;-0.01704027
Jul-11;-0.039250053;-1.28E-02;-0.039430484;-0.036507499;0.03843901;0.003298215;-0.000396659;-0.02781535;-0.034671611
Ago-11;-0.056215029;-5.03E-02;-0.086919153;-0.08652465;0.045279673;-0.026966493;-0.092549256;-0.10576897;-0.055765461
Set-11;-0.081032554;-7.56E-02;-0.115884485;-0.11292557;0.071524211;-0.053341853;-0.17894757;-0.127311605;-0.079079192
Oct-11;0.121156296;1.12E-01;0.162178403;0.150446863;-0.000962085;0.08480844;0.162678225;0.160207884;0.117391395
Nov-11;-0.006976104;-1.03E-03;-0.005868273;-0.00199139;-0.012209075;-0.023676874;-0.019603047;-0.006808843;-0.006809449
Dic-11;0.013571993;-7.04E-03;-0.005549193;0.007521104;0.027866458;0.038799202;-0.0517369;-0.007711574;-0.000979508
