"";"ID";"anio";"dpto";"nom_dpto";"barrio";"REGION_4";"e26";"e27";"e29_6";"e49";"e197_1";"e51_2";"e51_3";"e201_1a";"e201_1b";"e201_1c";"e201_1d";"e51_4_a";"e51_4_b";"e51_5";"e51_6";"e51_8";"e215_1";"e218_1";"e221_1";"e224_1";"e51_9";"e51_10";"e51_11";"f85";"f98";"f124_1";"f124_2";"f124_3";"f124_5";"f73";"POBPCOAC";"PT1";"PT2";"PT4";"YDA";"edu";"exp";"lpt1";"pt1";"lpt4";"pt4";"exp2"
"1";57615;2024;1;"Montevideo";2;1;2;36;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;0;1;6;0;2;40;0;2;2;2;1;1;2;120000;120000;120000;220000;20;10;11,6952470217642;120000;11,6952470217642;120000;100
"2";57616;2024;1;"Montevideo";2;1;2;51;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;0;0;0;44;5;2;2;2;1;2;2;125500,48;110500,48;125500,48;171294,12;12;33;11,7400648622479;125500;11,7400648622479;125500;1089
"3";57617;2024;1;"Montevideo";2;1;1;32;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;2;0;0;1;0;0;40;0;2;2;2;1;1;2;138206,36;138206,36;138206,36;134000;13;13;11,8365032095173;138206;11,8365032095173;138206;169
"4";57618;2024;1;"Montevideo";2;1;2;55;0;1;1;6;0;1;0;2;0;3;0;1;0;0;0;0;0;0;0;0;0;40;10;2;2;2;1;1;2;87206,36;67206,36;87206,36;108000;10;39;11,3760325430172;87206;11,3760325430172;87206;1521
"5";57620;2024;1;"Montevideo";1;1;2;58;0;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;11;2;2;2;1;1;2;64806,36;48806,36;64806,36;162900;6;46;11,0791590256723;64806;11,0791590256723;64806;2116
"6";57620;2024;1;"Montevideo";1;1;1;61;0;1;1;6;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;45;0;1;2;2;1;1;2;102300;84000;84000;162900;8;47;11,5356649519397;102300;11,3385720778255;84000;2209
"7";57621;2024;1;"Montevideo";1;1;2;27;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;0;0;5;0;0;44;0;2;2;2;1;1;2;42206,36;42206,36;42206,36;211000;17;4;10,6503261995688;42206;10,6503261995688;42206;16
"8";57622;2024;1;"Montevideo";1;1;1;29;3;1;1;6;0;1;0;1;0;3;0;3;0;0;0;2;2;0;3;1;0;32;0;2;2;2;1;1;2;54026,36;54026,36;54026,36;105860;16;7;10,897227354589;54026;10,897227354589;54026;49
"9";57622;2024;1;"Montevideo";1;1;2;59;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;0;0;0;64;0;2;2;2;1;1;2;60246,36;60246,36;60246,36;105860;12;41;11,0061974345901;60246;11,0061974345901;60246;1681
"10";57623;2024;1;"Montevideo";1;1;1;31;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;0;0;4;0;0;44;0;2;2;2;1;1;2;106506,36;106006,36;106006,36;106300;16;9;11,5759599806584;106506;11,5712543712943;106006;81
