time;g_real_growth_aus;g_real_growth_fiji;g_sugar_output;reer_fiji;rgdp_aus;rgdp_fiji;sugaroutput_fiji
1990;2.262566048;5.802918467;NA;100.466102;754.8;3.1105;4016
1991;-1.205617382;-2.706960296;-15.83665339;103.380059;745.7;3.0263;3380
1992;2.708864154;6.106466642;4.526627219;103.720261;765.9;3.2111;3533
1993;4.034469252;2.603469216;4.840079253;107.430565;796.8;3.2947;3704
1994;4.706325301;5.089993019;9.719222462;107.701338;834.3;3.4624;4064
1995;2.97255184;4.915665434;1.136811024;105.651249;859.1;3.6326;4110.2
1996;4.283552555;4.740406321;6.564157462;106.050565;895.9;3.8048;4380
1997;4.074115415;-2.260302775;-25.11415525;109.323742;932.4;3.7188;3280
1998;4.987129987;1.226202001;-36.03658537;92.983952;978.9;3.7644;2098
1999;4.16794361;9.212623526;88.65586273;93.198896;1019.7;4.1112;3958
2000;3.089143866;-1.780502043;-4.345629106;90.232322;1051.2;4.038;3786
2001;2.616057839;1.968796434;-25.91125198;91.391752;1078.7;4.1175;2805
2002;3.949198109;3.154826958;21.99643494;91.669841;1121.3;4.2474;3422
2003;3.041112994;0.995903376;-23.72881356;97.889979;1155.4;4.2897;2610
2004;4.093820322;5.457258083;14.98084291;99.843783;1202.7;4.5238;3001
2005;3.134613786;2.497899996;-7.064311896;100;1240.4;4.6368;2789
2006;2.668494034;1.856884058;15.66869846;97.790079;1273.5;4.7229;3226
2007;4.546525324;-0.859641322;-23.1866088;99.500413;1331.4;4.6823;2478
2008;2.688898903;1.031544327;-6.335754641;102.174897;1367.2;4.7306;2321
2009;1.543300176;-1.386716273;-3.188280913;90.552315;1388.3;4.665;2247
2010;2.247352878;2.956055734;-20.87227414;88.007182;1419.5;4.8029;1778
2011;2.592462135;2.704615961;17.88526434;92.155705;1456.3;4.9328;2096
2012;3.605026437;1.830603308;-21.75572519;94.978416;1508.8;5.0231;1640
2013;2.326352068;4.642551412;7.317073171;95.888873;1543.9;5.2563;1760
